ID_ESCOLA;ATU_2023
23064854;
23064870;
23064927;31.5
23064994;
23065028;33.3
23065052;
23065125;32.1
23065192;37.0
23065206;
23065265;37.5
23065311;
23065346;37.0
23065397;
23065621;31.4
23065680;
23065834;37.3
23065958;36.9
23066520;
23066628;
23066660;
23067330;
23067390;35.9
23067462;
23067543;34.3
23067691;37.3
23067756;
23067764;
23067829;35.2
23067934;
23067977;33.6
23068167;36.8
23068175;
23068302;
23068469;
23068892;34.6
23069015;36.9
23069198;36.0
23069317;31.3
23069350;35.2
23069368;
23069538;
23069937;
23069945;34.6
23069953;30.0
23070013;
23070021;36.0
23070030;
23070048;
23070056;
23070137;33.6
23070188;34.3
23070250;36.4
23070471;
23070846;37.5
23070870;32.8
23070960;33.4
23071028;
23071168;34.6
23071427;37.6
23071435;31.5
23071796;
23071818;32.1
23071850;33.2
23071990;
23072016;
23072156;
23072180;37.6
23072202;33.1
23072229;32.0
23072245;34.2
23072270;36.1
23072350;
23072504;35.5
23072512;33.6
23072520;36.1
23072555;
23072563;
23072911;38.9
23073080;34.5
23073144;35.4
23073535;
23073543;37.1
23073608;33.3
23073667;34.5
23073748;38.4
23073764;29.8
23073772;33.6
23073870;32.6
23073934;35.2
23074078;38.2
23074086;36.1
23074124;36.0
23074140;33.6
23074582;
23074779;
23074876;33.4
23075015;
23075058;
23075074;33.3
23075120;34.9
23075155;33.7
23075856;
23076682;
23076720;35.1
23076798;
23077131;34.8
23077450;35.3
23077468;35.5
23077611;
23077794;37.0
23078006;35.2
23078030;35.9
23078162;
23078413;36.6
23078553;34.2
23078596;33.3
23078600;35.7
23078626;34.1
23078677;
23078693;
23078723;
23078740;36.8
23078766;34.3
23080124;31.6
23184221;
23184558;35.9
23184680;
23184779;38.2
23184914;33.0
23186160;37.5
23186690;
23186771;
23186909;
23186950;
23187778;35.5
23187840;
23188375;
23189681;
23190787;
23198486;
23198818;37.5
23206152;
23212543;30.7
23213140;31.7
23213736;
23214899;36.0
23215267;32.9
23222964;
23227419;
23233702;
23233729;
23233800;
23233834;
23233842;35.4
23233877;
23234067;37.5
23234172;
23234300;
23234318;36.8
23234407;
23234423;
23234440;
23235080;38.0
23235128;
23235365;
23235373;
23242469;33.5
23242710;
23244283;
23244291;
23244305;34.0
23244976;
23245182;
23245212;
23245379;
23250275;
23250429;
23250550;38.8
23250623;
23250631;35.5
23250666;
23255641;33.3
23255668;36.0
23255749;
23255854;
23255889;35.0
23255951;
23255960;
23256001;
23256036;
23256044;
23256060;37.3
23256460;
23256478;
23256486;
23256559;
23256591;
23256605;
23256656;
23256699;
23256737;
23256761;31.8
23256796;
23256850;
23256907;
23256915;
23256923;
23256966;
23256990;
23257059;34.3
23257075;
23257105;
23257172;
23257202;
23257237;
23257300;
23257334;
23257342;
23257369;35.7
23257393;
23257440;
23257482;
23257520;
23257644;
23257652;
23257679;
23257695;
23257725;
23257750;
23257873;
23257881;
23259418;30.7
23259540;32.1
23259558;37.0
23259566;
23262605;30.9
23262613;36.8
23263040;34.0
23263075;
23263113;
23263121;
23263130;32.6
23263148;
23263296;
23263318;35.3
23263326;
23263334;
23264144;
23264152;
23264160;
23264179;
23264187;34.2
23264209;33.1
23264780;34.9
23264799;36.3
23264810;
23269170;29.8
23270560;
23270675;34.4
23271493;35.3
23271507;
23271531;
23271540;
23272007;34.8
23272694;28.8
23272708;31.2
23272716;
23272724;34.5
23272732;
23272740;
23272759;
23273747;35.1
23273755;37.5
23273763;34.8
23274034;38.0
23274930;38.1
23275006;36.7
23275146;32.1
23275154;36.3
23277238;34.3
23277246;36.8
23277408;33.8
23277564;37.1
23277572;35.8
23279109;35.7
23279320;38.7
23279621;35.0
23280689;36.8
23280697;37.4
23280700;37.3
23302615;31.3
23304812;
23311614;
23323469;37.0
23324244;
23324252;
23324260;
23324279;34.7
23325216;29.8
23325224;35.4
23330015;
23331615;38.8
23445645;
23529989;35.7
23546018;
23546026;
23546999;
23547987;36.0
23547995;33.3
