ID_ESCOLA;HAD_2023
23064854;
23064870;
23064927;5.8
23064994;
23065028;10.0
23065052;
23065125;6.8
23065192;6.8
23065206;
23065265;10.0
23065311;
23065346;10.0
23065397;
23065621;6.6
23065680;
23065834;6.9
23065958;7.0
23066520;
23066628;
23066660;
23067330;
23067390;7.0
23067462;
23067543;6.8
23067691;6.9
23067756;
23067764;
23067829;7.0
23067934;
23067977;6.9
23068167;6.7
23068175;
23068302;
23068469;
23068892;6.8
23069015;10.0
23069198;6.8
23069317;10.0
23069350;7.0
23069368;
23069538;
23069937;
23069945;6.9
23069953;6.7
23070013;
23070021;7.0
23070030;
23070048;
23070056;
23070137;6.8
23070188;7.0
23070250;10.1
23070471;
23070846;10.0
23070870;6.6
23070960;6.9
23071028;
23071168;7.0
23071427;6.8
23071435;6.8
23071796;
23071818;7.0
23071850;6.9
23071990;
23072016;
23072156;
23072180;6.9
23072202;7.0
23072229;6.8
23072245;6.9
23072270;6.7
23072350;
23072504;6.9
23072512;5.8
23072520;6.6
23072555;
23072563;
23072911;7.1
23073080;6.4
23073144;6.5
23073535;
23073543;6.8
23073608;7.0
23073667;6.9
23073748;6.6
23073764;6.9
23073772;7.1
23073870;6.9
23073934;7.0
23074078;6.9
23074086;6.8
23074124;7.0
23074140;6.6
23074582;
23074779;
23074876;7.0
23075015;
23075058;
23075074;7.0
23075120;6.4
23075155;7.0
23075856;
23076682;
23076720;6.8
23076798;
23077131;7.0
23077450;7.0
23077468;6.9
23077611;
23077794;6.9
23078006;7.0
23078030;7.0
23078162;
23078413;7.0
23078553;7.0
23078596;6.0
23078600;4.9
23078626;7.0
23078677;
23078693;
23078723;
23078740;10.0
23078766;6.7
23080124;7.0
23184221;
23184558;7.0
23184680;
23184779;7.0
23184914;6.6
23186160;7.0
23186690;
23186771;
23186909;
23186950;
23187778;6.2
23187840;
23188375;
23189681;
23190787;
23198486;
23198818;7.0
23206152;
23212543;6.9
23213140;7.0
23213736;
23214899;7.0
23215267;6.9
23222964;
23227419;
23233702;
23233729;
23233800;
23233834;
23233842;6.9
23233877;
23234067;7.0
23234172;
23234300;
23234318;6.9
23234407;
23234423;
23234440;
23235080;7.0
23235128;
23235365;
23235373;
23242469;6.8
23242710;
23244283;
23244291;
23244305;6.9
23244976;
23245182;
23245212;
23245379;
23250275;
23250429;
23250550;7.0
23250623;
23250631;7.0
23250666;
23255641;5.7
23255668;6.8
23255749;
23255854;
23255889;6.4
23255951;
23255960;
23256001;
23256036;
23256044;
23256060;6.6
23256460;
23256478;
23256486;
23256559;
23256591;
23256605;
23256656;
23256699;
23256737;
23256761;6.9
23256796;
23256850;
23256907;
23256915;
23256923;
23256966;
23256990;
23257059;6.9
23257075;
23257105;
23257172;
23257202;
23257237;
23257300;
23257334;
23257342;
23257369;6.9
23257393;
23257440;
23257482;
23257520;
23257644;
23257652;
23257679;
23257695;
23257725;
23257750;
23257873;
23257881;
23259418;6.5
23259540;10.0
23259558;10.0
23259566;
23262605;7.0
23262613;10.0
23263040;6.9
23263075;
23263113;
23263121;
23263130;6.4
23263148;
23263296;
23263318;6.8
23263326;
23263334;
23264144;
23264152;
23264160;
23264179;
23264187;6.8
23264209;6.7
23264780;10.0
23264799;10.0
23264810;
23269170;6.3
23270560;
23270675;7.0
23271493;10.0
23271507;
23271531;
23271540;
23272007;10.0
23272694;6.9
23272708;10.0
23272716;
23272724;6.6
23272732;
23272740;
23272759;
23273747;10.0
23273755;6.9
23273763;7.0
23274034;6.2
23274930;10.0
23275006;10.0
23275146;10.0
23275154;10.0
23277238;10.0
23277246;10.0
23277408;10.0
23277564;10.0
23277572;7.1
23279109;10.0
23279320;7.1
23279621;10.0
23280689;10.0
23280697;7.0
23280700;6.3
23302615;7.1
23304812;
23311614;
23323469;7.0
23324244;
23324252;
23324260;
23324279;6.8
23325216;7.0
23325224;7.0
23330015;
23331615;10.0
23445645;
23529989;10.0
23546018;
23546026;
23546999;
23547987;6.9
23547995;7.0
