ID_ESCOLA;IED_2023
23064854;
23064870;
23064927;375.59999999999997
23064994;
23065028;314.20000000000005
23065052;
23065125;390.70000000000005
23065192;394.6
23065206;
23065265;323.6
23065311;
23065346;285.6
23065397;
23065621;381.40000000000003
23065680;
23065834;415.40000000000003
23065958;384.5
23066520;
23066628;
23066660;
23067330;
23067390;385.2
23067462;
23067543;381.7
23067691;383.4
23067756;
23067764;
23067829;381.7
23067934;
23067977;373.6
23068167;403.0
23068175;
23068302;
23068469;
23068892;386.4
23069015;305.79999999999995
23069198;406.3
23069317;328.70000000000005
23069350;385.7
23069368;
23069538;
23069937;
23069945;409.4
23069953;404.20000000000005
23070013;
23070021;383.7
23070030;
23070048;
23070056;
23070137;396.1
23070188;375.7
23070250;326.9
23070471;
23070846;319.9
23070870;415.8
23070960;388.0
23071028;
23071168;400.2
23071427;387.6
23071435;399.8
23071796;
23071818;405.0
23071850;385.29999999999995
23071990;
23072016;
23072156;
23072180;390.7
23072202;391.9
23072229;384.50000000000006
23072245;388.5
23072270;381.1
23072350;
23072504;396.79999999999995
23072512;387.40000000000003
23072520;387.5
23072555;
23072563;
23072911;389.3
23073080;416.2
23073144;397.79999999999995
23073535;
23073543;380.5
23073608;384.0
23073667;403.1
23073748;390.3
23073764;406.1
23073772;403.4
23073870;383.2
23073934;394.19999999999993
23074078;384.80000000000007
23074086;382.90000000000003
23074124;400.09999999999997
23074140;390.5
23074582;
23074779;
23074876;399.8
23075015;
23075058;
23075074;394.4
23075120;372.2
23075155;386.7
23075856;
23076682;
23076720;391.1
23076798;
23077131;415.79999999999995
23077450;396.9
23077468;387.1
23077611;
23077794;393.1
23078006;370.3
23078030;395.20000000000005
23078162;
23078413;404.6
23078553;380.1
23078596;380.0
23078600;418.90000000000003
23078626;396.0
23078677;
23078693;
23078723;
23078740;305.0
23078766;354.1
23080124;403.4
23184221;
23184558;380.0
23184680;
23184779;413.4
23184914;412.6
23186160;380.79999999999995
23186690;
23186771;
23186909;
23186950;
23187778;407.9
23187840;
23188375;
23189681;
23190787;
23198486;
23198818;400.0
23206152;
23212543;396.5
23213140;403.2
23213736;
23214899;453.90000000000003
23215267;392.6
23222964;
23227419;
23233702;
23233729;
23233800;
23233834;
23233842;399.79999999999995
23233877;
23234067;389.1
23234172;
23234300;
23234318;390.09999999999997
23234407;
23234423;
23234440;
23235080;400.2
23235128;
23235365;
23235373;
23242469;396.5
23242710;
23244283;
23244291;
23244305;400.0
23244976;
23245182;
23245212;
23245379;
23250275;
23250429;
23250550;400.0
23250623;
23250631;385.0
23250666;
23255641;383.4
23255668;399.9
23255749;
23255854;
23255889;396.0
23255951;
23255960;
23256001;
23256036;
23256044;
23256060;380.0
23256460;
23256478;
23256486;
23256559;
23256591;
23256605;
23256656;
23256699;
23256737;
23256761;395.50000000000006
23256796;
23256850;
23256907;
23256915;
23256923;
23256966;
23256990;
23257059;415.70000000000005
23257075;
23257105;
23257172;
23257202;
23257237;
23257300;
23257334;
23257342;
23257369;400.0
23257393;
23257440;
23257482;
23257520;
23257644;
23257652;
23257679;
23257695;
23257725;
23257750;
23257873;
23257881;
23259418;367.00000000000006
23259540;299.90000000000003
23259558;272.20000000000005
23259566;
23262605;389.6
23262613;310.6
23263040;426.90000000000003
23263075;
23263113;
23263121;
23263130;407.40000000000003
23263148;
23263296;
23263318;408.6
23263326;
23263334;
23264144;
23264152;
23264160;
23264179;
23264187;392.3
23264209;383.7
23264780;329.5
23264799;288.90000000000003
23264810;
23269170;386.3
23270560;
23270675;399.90000000000003
23271493;309.6
23271507;
23271531;
23271540;
23272007;300.0
23272694;391.0
23272708;333.4
23272716;
23272724;396.7
23272732;
23272740;
23272759;
23273747;289.5
23273755;387.6
23273763;396.0
23274034;384.09999999999997
23274930;316.70000000000005
23275006;322.49999999999994
23275146;321.3
23275154;283.4
23277238;290.0
23277246;320.90000000000003
23277408;284.20000000000005
23277564;347.7
23277572;405.8
23279109;295.40000000000003
23279320;400.0
23279621;327.1
23280689;309.6
23280697;394.20000000000005
23280700;375.8
23302615;380.50000000000006
23304812;
23311614;
23323469;400.0
23324244;
23324252;
23324260;
23324279;404.79999999999995
23325216;400.1
23325224;395.40000000000003
23330015;
23331615;315.90000000000003
23445645;
23529989;305.0
23546018;
23546026;
23546999;
23547987;406.9
23547995;379.6
