ID_ESCOLA;IRD_2023
23064854;2.820402
23064870;3.45788
23064927;2.857899
23064994;2.849954
23065028;2.76455
23065052;2.865651
23065125;2.394396
23065192;3.285143
23065206;3.109502
23065265;1.897302
23065311;2.936141
23065346;2.344925
23065397;3.155034
23065621;2.505257
23065680;2.695273
23065834;2.517767
23065958;2.26114
23066520;3.246081
23066628;3.235983
23066660;3.342901
23067330;2.796339
23067390;2.043658
23067462;2.799529
23067543;2.315101
23067691;2.713888
23067756;2.887075
23067764;2.793936
23067829;2.497611
23067934;3.450513
23067977;1.823963
23068167;1.751395
23068175;3.360277
23068302;2.532662
23068469;2.777203
23068892;2.471352
23069015;2.564353
23069198;1.978351
23069317;2.936662
23069350;2.328999
23069368;2.93858
23069538;2.674739
23069937;3.40815
23069945;3.006268
23069953;3.006811
23070013;2.785224
23070021;2.84515
23070030;3.082654
23070048;2.70291
23070056;2.216539
23070137;2.24793
23070188;2.861419
23070250;3.670211
23070471;2.776198
23070846;1.997823
23070870;3.07884
23070960;2.743203
23071028;3.062675
23071168;2.29436
23071427;2.976115
23071435;2.884943
23071796;2.236869
23071818;2.786988
23071850;2.69974
23071990;3.330299
23072016;2.540149
23072156;2.842705
23072180;2.362296
23072202;2.577516
23072229;2.769275
23072245;3.200797
23072270;2.666218
23072350;3.099994
23072504;3.143146
23072512;3.277347
23072520;2.987546
23072555;2.812649
23072563;3.145662
23072911;2.872671
23073080;3.243696
23073144;2.911185
23073535;3.526621
23073543;2.858354
23073608;2.554707
23073667;2.843208
23073748;2.494638
23073764;2.724751
23073772;2.351593
23073870;2.625683
23073934;3.265401
23074078;3.119382
23074086;3.155244
23074124;2.565228
23074140;3.289749
23074582;2.672351
23074779;2.945037
23074876;2.127891
23075015;3.214927
23075058;2.030021
23075074;2.426009
23075120;2.362906
23075155;2.611595
23075856;2.763232
23076682;3.545628
23076720;2.884726
23076798;2.595484
23077131;2.353931
23077450;2.241233
23077468;2.918314
23077611;3.296829
23077794;2.914684
23078006;2.763069
23078030;2.755614
23078162;2.826255
23078413;2.864185
23078553;2.309407
23078596;3.469876
23078600;2.675963
23078626;2.994031
23078677;3.452411
23078693;1.983869
23078723;3.372964
23078740;2.601651
23078766;1.939189
23080124;1.537743
23184221;2.698758
23184558;2.4605
23184680;2.981018
23184779;2.703852
23184914;2.47939
23186160;2.959191
23186690;2.421366
23186771;2.325252
23186909;2.276699
23186950;2.886021
23187778;3.132749
23187840;2.529565
23188375;3.064806
23189681;3.300387
23190787;2.857143
23198486;2.660515
23198818;2.369134
23206152;1.571614
23212543;1.814879
23213140;1.723159
23213736;2.438191
23214899;1.97205
23215267;2.475738
23222964;2.530495
23227419;3.203855
23233702;2.621546
23233729;2.668462
23233800;2.42271
23233834;2.860761
23233842;2.930111
23233877;3.014363
23234067;2.594604
23234172;3.13374
23234300;3.52264
23234318;3.083918
23234407;2.487443
23234423;3.083886
23234440;2.207742
23235080;2.557487
23235128;3.317828
23235365;2.435445
23235373;2.740998
23242469;2.086502
23242710;2.198416
23244283;3.108718
23244291;3.315509
23244305;2.863283
23244976;2.321514
23245182;3.544316
23245212;3.36784
23245379;3.396135
23250275;2.26695
23250429;2.40722
23250550;2.960697
23250623;3.120489
23250631;3.23126
23250666;2.270289
23255641;2.857708
23255668;2.507439
23255749;2.68931
23255854;3.042813
23255889;2.859621
23255951;2.819607
23255960;2.89388
23256001;2.651679
23256036;3.026267
23256044;2.292083
23256060;2.329713
23256460;3.554764
23256478;2.214863
23256486;3.383432
23256559;3.362069
23256591;2.598875
23256605;3.191317
23256656;2.593662
23256699;2.999701
23256737;3.21965
23256761;2.493015
23256796;2.878882
23256850;2.304364
23256907;2.820945
23256915;3.231947
23256923;2.712662
23256966;2.27161
23256990;3.688279
23257059;3.101526
23257075;2.461886
23257105;2.787555
23257172;3.367593
23257202;2.791505
23257237;2.478188
23257300;2.854605
23257334;2.056489
23257342;2.803724
23257369;2.92074
23257393;2.997058
23257440;2.707086
23257482;2.91954
23257520;2.338847
23257644;2.807636
23257652;2.904908
23257679;2.030388
23257695;2.62794
23257725;2.655396
23257750;2.541812
23257873;2.401356
23257881;2.863516
23259418;2.733439
23259540;2.690217
23259558;1.71972
23259566;3.30387
23262605;3.059475
23262613;2.357337
23263040;2.846113
23263075;2.953792
23263113;2.288245
23263121;2.346679
23263130;2.881405
23263148;2.363634
23263296;2.321483
23263318;2.862634
23263326;2.913942
23263334;3.125697
23264144;3.172213
23264152;2.688007
23264160;3.039476
23264179;3.139491
23264187;2.344577
23264209;2.627181
23264780;2.78028
23264799;2.109438
23264810;2.117894
23269170;2.166149
23270560;2.762462
23270675;2.989227
23271493;2.33666
23271507;3.153166
23271531;2.203793
23271540;2.448325
23272007;2.336679
23272694;2.205154
23272708;2.521418
23272716;3.1676
23272724;3.007314
23272732;3.108999
23272740;2.810001
23272759;3.060008
23273747;1.431067
23273755;3.033126
23273763;1.689391
23274034;2.891406
23302615;1.897168
23304812;2.631796
23311614;3.600141
23323469;1.58351
23324244;3.256819
23324252;3.574355
23324260;2.171639
23324279;2.888427
23325216;3.145161
23325224;2.684318
23330015;1.885148
23331615;3.035229
23445645;2.609181
23529989;2.538211
23546018;3.097994
23546026;2.60738
23546999;2.900751
23547987;2.422289
23547995;2.545842
