ID_ESCOLA;TNR_2023
23064854;
23064870;
23064927;1.4
23064994;
23065028;3.0
23065052;
23065125;0.0
23065192;1.5
23065206;
23065265;0.9
23065311;
23065346;0.9
23065397;
23065621;2.5
23065680;
23065834;0.9
23065958;1.6
23066520;
23066628;
23066660;
23067330;
23067390;2.7
23067462;
23067543;2.0
23067691;0.9
23067756;
23067764;
23067829;3.3
23067934;
23067977;1.1
23068167;1.9
23068175;
23068302;
23068469;
23068892;2.0
23069015;1.9
23069198;0.7
23069317;4.5
23069350;3.3
23069368;
23069538;
23069937;
23069945;2.6
23069953;4.1
23070013;
23070021;2.6
23070030;
23070048;
23070056;
23070137;1.6
23070188;0.6
23070250;5.1
23070471;
23070846;1.0
23070870;1.0
23070960;2.5
23071028;
23071168;3.1
23071427;0.9
23071435;1.0
23071796;
23071818;2.3
23071850;1.5
23071990;
23072016;
23072156;
23072180;0.7
23072202;2.4
23072229;0.6
23072245;0.7
23072270;0.9
23072350;
23072504;2.1
23072512;1.5
23072520;1.8
23072555;
23072563;
23072911;1.1
23073080;2.0
23073144;0.1
23073535;
23073543;1.1
23073608;1.2
23073667;2.2
23073748;1.5
23073764;0.4
23073772;9.0
23073870;1.6
23073934;2.5
23074078;0.8
23074086;0.8
23074124;3.2
23074140;1.6
23074582;
23074779;
23074876;0.0
23075015;
23075058;
23075074;1.5
23075120;3.0
23075155;0.8
23075856;
23076682;
23076720;2.8
23076798;
23077131;2.3
23077450;1.0
23077468;1.2
23077611;
23077794;3.6
23078006;0.4
23078030;1.5
23078162;
23078413;3.1
23078553;4.9
23078596;0.5
23078600;2.8
23078626;1.6
23078677;
23078693;
23078723;
23078740;1.7
23078766;4.9
23080124;5.2
23184221;
23184558;1.2
23184680;
23184779;1.0
23184914;0.9
23186160;1.4
23186690;
23186771;
23186909;
23186950;
23187778;2.4
23187840;
23188375;
23189681;
23190787;
23198486;
23198818;2.2
23206152;
23212543;3.0
23213140;1.1
23213736;
23214899;4.3
23215267;0.9
23222964;
23227419;
23233702;
23233729;
23233800;
23233834;
23233842;2.6
23233877;
23234067;1.7
23234172;
23234300;
23234318;1.4
23234407;
23234423;
23234440;
23235080;0.5
23235128;
23235365;
23235373;
23242469;0.0
23242710;
23244283;
23244291;
23244305;0.8
23244976;
23245182;
23245212;
23245379;
23250275;
23250429;
23250550;0.0
23250623;
23250631;1.1
23250666;
23255641;0.8
23255668;1.2
23255749;
23255854;
23255889;0.0
23255951;
23255960;
23256001;
23256036;
23256044;
23256060;4.7
23256460;
23256478;
23256486;
23256559;
23256591;
23256605;
23256656;
23256699;
23256737;
23256761;66.0
23256796;
23256850;
23256907;
23256915;
23256923;
23256966;
23256990;
23257059;2.8
23257075;
23257105;
23257172;
23257202;
23257237;
23257300;
23257334;
23257342;
23257369;0.2
23257393;
23257440;
23257482;
23257520;
23257644;
23257652;
23257679;
23257695;
23257725;
23257750;
23257873;
23257881;
23259418;0.6
23259540;2.3
23259558;1.6
23259566;
23262605;0.5
23262613;1.8
23263040;2.3
23263075;
23263113;
23263121;
23263130;1.7
23263148;
23263296;
23263318;0.7
23263326;
23263334;
23264144;
23264152;
23264160;
23264179;
23264187;0.3
23264209;0.0
23264780;3.3
23264799;0.7
23264810;
23269170;0.0
23270560;
23270675;1.0
23271493;2.1
23271507;
23271531;
23271540;
23272007;1.2
23272694;1.6
23272708;1.2
23272716;
23272724;1.4
23272732;
23272740;
23272759;
23273747;2.2
23273755;1.3
23273763;3.8
23274034;0.6
23274930;2.1
23275006;1.4
23275146;1.1
23275154;1.4
23277238;1.0
23277246;0.7
23277408;1.7
23277564;1.1
23277572;3.4
23279109;1.9
23279320;0.8
23279621;3.8
23280689;0.9
23280697;1.3
23280700;1.9
23302615;3.5
23304812;
23311614;
23323469;1.7
23324244;
23324252;
23324260;
23324279;1.2
23325216;1.4
23325224;2.4
23330015;
23331615;0.5
23445645;
23529989;0.8
23546018;
23546026;
23546999;
23547987;0.9
23547995;2.4
